player,rating_pool,RD_pool,vol_pool,rating_de,RD_de,vol_de,Total Pool Matches,Pool Touche Index,Total DE Matches,DE Touche Index,Pool Wins,Pool Losses,DE Wins,DE Losses
MARZAN PRINZ ROHAN,1411.181559458012,157.0667004634281,0.059997559789805116,,,,5.0,-2.0,0.0,,0.0,5.0,,
MASANAGA RYUICHIRO,1589.5214479748781,106.66488504174977,0.05998850967713822,1469.9692897395375,165.05928987251363,0.05999317790623848,15.0,0.7333333333333333,5.0,-1.6,10.0,5.0,2.0,3.0
MAYO MATT JACOB,1510.8162725188004,82.70672475577057,0.05997575837432767,1493.0828862978246,123.71412398361879,0.05998558322745244,24.0,0.20833333333333334,11.0,-1.0,14.0,10.0,6.0,5.0
MENDOZA JAIRUS,1453.4463469442735,81.23329798633658,0.059972646137962604,1439.6521645580222,164.15924815459755,0.05999248742665524,25.0,-0.64,5.0,-2.4,9.0,16.0,1.0,4.0
MIRANDA IAN HEINZ,1584.0644244662858,152.33783148123408,0.059997497874732846,1457.543549266652,255.4698520174677,0.059998494872594364,5.0,0.6,1.0,-4.0,3.0,2.0,0.0,1.0
MUNOZ DEEN RAFAEL,1556.806747150598,93.2649895726561,0.05997840297689305,1498.0697134556015,147.06781084462673,0.059990679436878726,19.0,0.7368421052631579,7.0,1.5714285714285714,12.0,7.0,4.0,3.0
NUNEZ RAMON ANGELO GABRIEL,1291.6795736444606,144.46518159624233,0.05999395142111693,,,,10.0,-2.5,0.0,,2.0,8.0,,
OBZUNAR AURELL FLORENCE,1591.0249087172238,110.00319020435695,0.059984884901558955,1556.3756919175892,153.8529260923552,0.059992187644017786,14.0,1.5,7.0,2.0,11.0,3.0,4.0,3.0
OCAMPO TAN ALLAN,1435.866134902417,92.55773676178178,0.05997914725819203,1343.600173943224,221.88640539962478,0.059997445635894174,20.0,-1.05,2.0,-9.5,5.0,15.0,0.0,2.0
ONG MARIXON,1377.858424213855,99.46022986596108,0.05997930292556278,1348.195102948708,187.52511452664154,0.05999422384629138,18.0,-1.4444444444444444,4.0,-8.25,6.0,12.0,0.0,4.0
PABALAN BRIANNE KLYDE,1531.4673048312065,128.2159483909674,0.05999736130626871,1480.0952541484567,192.56463252531304,0.05999577460091206,10.0,0.6,4.0,-0.5,6.0,4.0,2.0,2.0
PANES KEN,1547.5160841461573,81.7397206014739,0.0599762745491621,1535.0324276356978,141.42936667618318,0.05998807717018659,25.0,0.36,8.0,1.25,12.0,13.0,3.0,5.0
PANGILINAN ABI FRANCE,1449.038919392005,96.54668353087719,0.05997784726072532,1382.4653009883737,184.5311519192525,0.059993910424689066,18.0,-0.7222222222222222,4.0,-5.0,8.0,10.0,0.0,4.0
PASCAL NICOLAS,1369.0754731965396,179.87107749235057,0.05999801870156763,1373.1335624357628,274.70238876271753,0.05999915849014213,4.0,-1.5,1.0,-10.0,1.0,3.0,0.0,1.0
PEDIAPCO FRANCO ANTONINO,1586.1819569163297,154.15109042128876,0.05999752270135599,1441.8395004340582,263.8432563835594,0.05999865552351265,5.0,1.2,1.0,-6.0,3.0,2.0,0.0,1.0
PERALTA SIDNEY DEMITRI,1498.0083412800047,82.84595740326081,0.059990553445925424,1432.375583432933,146.58152507149865,0.05999000163182927,24.0,0.0,8.0,-2.25,12.0,12.0,4.0,4.0
PEREZ REYNALDO JR,1710.4887539795027,104.67932800155242,0.0599879257878053,1581.7020501289462,124.6733394037557,0.05998914166981003,19.0,3.0,9.0,1.4444444444444444,18.0,1.0,5.0,4.0
PURISIMA ALDWIN TROY,1453.2844907856077,162.02480026141458,0.05999744803802272,1421.9882188561985,260.440782189484,0.059998680435728674,5.0,-0.8,1.0,-5.0,2.0,3.0,0.0,1.0
PUTIAN ADAM,1614.0292440073881,95.76197773886766,0.05998017683469775,1532.160733223635,144.93405288543357,0.05998988256410565,19.0,1.2105263157894737,7.0,0.8571428571428571,14.0,5.0,3.0,4.0
RAMOS JOHN DEXTER,1589.4613171886017,84.12692715384729,0.05997027792642714,1562.6603659168327,108.20021822469771,0.05998058626795855,24.0,1.4166666666666667,15.0,2.2666666666666666,18.0,6.0,10.0,5.0
RAMOS THADDEUS,1450.2258726555071,100.80297971161731,0.05998389326659022,1369.821000807425,206.843032020935,0.05999611380877693,15.0,-0.7333333333333333,3.0,-6.0,4.0,11.0,0.0,3.0
RODRIGUEZ VINCE BENJAMIN,1515.8158511325473,80.79751566255227,0.05997103861917583,1438.1783906891353,165.76887916629792,0.05999329450434313,24.0,0.125,6.0,-3.0,12.0,12.0,2.0,4.0
ROMAN JESSLY REYAN,1640.6996588151976,84.687557153555,0.059968406474655546,1588.8259811460805,112.49596977726758,0.05998144350377621,23.0,1.9130434782608696,13.0,1.7692307692307692,18.0,5.0,8.0,5.0
ROYERAS EDEL,1631.7670265440408,166.89771262380015,0.059997902796334865,1480.5180485738865,215.2121411995223,0.05999794285668326,5.0,2.2,2.0,0.0,4.0,1.0,1.0,1.0
SALALIMA RALPH NIELSEN,1452.9190363838354,113.54931734427035,0.0599879273055798,1378.189516504652,209.91870055552405,0.05999603998405434,14.0,-0.7857142857142857,3.0,-8.333333333333334,5.0,9.0,0.0,3.0
SALIPONG KEVIN CARLOS,1258.4179796003655,156.47399339510397,0.05999892244494711,,,,5.0,-3.8,0.0,,0.0,5.0,,
SARMIENTO CHRISTIAN,1525.651669834602,101.20655278663165,0.05998884288006055,1454.247564746136,155.10051748460248,0.059992220342031964,14.0,0.14285714285714285,6.0,-1.6666666666666667,7.0,7.0,3.0,3.0
SESE JUANCHO MIGUEL,1427.1435274165199,83.96753875886189,0.05997144922307804,1391.752565611865,188.68772393109913,0.05999521103308429,24.0,-1.125,4.0,-5.5,9.0,15.0,1.0,3.0
SIN MAGNUS AURELIUS,1469.661306793819,168.37117369827547,0.05999747066078507,1391.7927382672035,290.3189625489991,0.05999927874065883,5.0,-0.6,1.0,-10.0,2.0,3.0,0.0,1.0
SINAY RUDDI OSBERT,1512.4080222245145,92.47440695717331,0.05998287514184864,1399.137187561059,178.73901435641997,0.05999346471579789,19.0,-0.10526315789473684,4.0,-5.5,12.0,7.0,0.0,4.0
SON DIEGO RAFAEL,1424.34513344844,164.13784279590402,0.05999756266813107,1443.7339781449602,276.2555268691058,0.05999883131238262,5.0,-1.2,1.0,-3.0,2.0,3.0,0.0,1.0
SUMICION MARCO ANTONIO,1434.6758863096002,119.4256015581675,0.05999048574588093,,,,10.0,-1.5,0.0,,1.0,9.0,,
TAN MICHAEL HIJO,1477.7916545026624,178.52521144907405,0.05999755452768554,1489.1792738957333,290.3189616231941,0.05999896461608425,5.0,0.2,1.0,-1.0,2.0,3.0,0.0,1.0
TEE JACOB,1381.7103503241597,89.83764326118349,0.05997345228478927,1343.0938541794712,182.9905145390064,0.05999408600617716,23.0,-1.7391304347826086,4.0,-8.25,6.0,17.0,0.0,4.0
